사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-03,2호선,0239,홍대입구,"1,105",36,"25,907","3,615","30,471","16,915","60,909","42,071","81,015","116,285","65,601","157,456","62,582","126,437","70,495","146,916","83,799","169,805","99,226","186,587","111,964","178,112","136,805","179,354","170,161","192,865","197,766","218,041","222,994","256,630","191,955","185,198","191,456","115,058","215,743","94,201","205,245","73,210","103,812","50,061","12,518","19,454",5,"1,854",0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0240,신촌,88,5,"7,083","2,640","14,525","16,475","36,143","36,159","54,014","92,868","41,277","101,463","41,648","78,731","49,091","70,612","61,438","72,636","66,980","79,825","71,283","70,476","80,660","67,881","97,581","75,653","113,936","98,621","111,192","127,564","81,846","87,193","83,848","52,797","90,330","47,072","89,038","40,564","43,200","25,842","6,870","7,176",4,160,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0241,이대,9,1,"3,367",903,"9,672","6,594","27,961","16,675","39,285","50,744","25,476","59,124","22,330","48,329","24,092","31,600","31,716","37,953","32,636","39,664","32,456","29,705","42,247","31,745","45,289","33,469","56,767","41,655","53,816","52,239","32,188","37,883","28,503","26,888","28,256","26,489","20,363","25,298","7,624","16,912",970,"4,789",0,90,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0242,아현,21,1,"4,562","1,019","11,256","5,066","30,640","11,821","43,604","21,965","26,231","15,093","19,375","13,451","18,074","11,162","19,846","13,434","19,236","14,781","17,254","15,952","19,347","18,362","22,519","20,891","21,731","26,763","21,990","36,056","13,764","27,802","10,062","19,516","8,085","18,845","5,760","16,244","2,384","9,014",323,"2,626",1,36,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0243,충정로(경기대입구),16,0,"3,422","1,028","6,734","6,674","16,102","26,100","23,292","61,755","15,462","27,721","12,710","13,554","13,028","12,134","13,457","12,298","14,335","15,532","14,746","13,554","16,621","14,096","19,610","15,322","34,588","18,847","47,634","23,225","16,518","16,532","11,421","12,226","10,337","11,851","6,803","10,245","3,029","6,591",617,"1,999",0,55,0,0,0,0,2025-04-03 10:13:53
2025-03,2호선,0244,용답,7,0,"2,132",342,"3,630","1,321","8,473","1,981","13,926","3,996","8,049","6,174","5,980","3,879","5,264","3,349","5,771","3,875","5,657","4,732","5,485","4,616","6,010","5,585","7,334","6,793","6,701","7,952","4,917","11,926","3,009","8,082","2,104","5,920","1,646","6,983","1,161","6,371",538,"3,696",125,"1,100",0,0,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0245,신답,6,0,"1,185",71,"2,079","1,017","6,136",940,"10,699","1,669","4,339","1,034","2,911","1,063","2,485","1,262","2,321","1,507","2,351","1,620","2,172","2,040","1,987","2,931","2,246","3,718","2,388","4,909","2,118","9,572","1,143","6,764",697,"3,603",544,"3,927",370,"3,155",197,"1,937",41,491,0,0,0,0,0,0,2025-04-03 10:13:53
2025-03,2호선,0246,신설동,53,0,"1,053",295,"1,492","2,034","5,454","5,367","9,862","13,994","6,245","9,897","6,022","9,332","6,843","8,184","8,562","8,267","9,006","8,844","9,917","7,231","10,216","6,589","10,604","5,926","12,722","6,535","13,942","8,296","5,287","6,001","3,084","4,691","2,830","4,263","1,900","3,883",886,"2,515",124,859,0,122,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0247,도림천,1,0,395,364,"1,357",939,"3,671","3,897","3,764","5,353","2,327","2,262","2,046","1,613","1,673","1,292","2,165","2,032","1,815","1,573","2,064","1,844","2,702","1,782","3,242","2,196","3,028","2,756","3,839","3,496","1,606","2,903",968,"2,097",899,"1,707",540,"1,395",184,"1,011",31,316,2,8,2,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0248,양천구청,47,0,"4,894",935,"12,148","2,871","33,745","5,406","30,783","8,613","18,466","5,562","13,059","4,557","11,972","5,499","11,937","7,075","10,381","8,565","8,363","9,350","8,832","12,321","9,409","15,387","9,379","21,224","9,036","30,895","4,468","25,704","3,090","15,159","2,571","14,307","2,186","11,181",745,"8,348",147,"2,534",0,13,0,0,0,0,2025-04-03 10:13:54
